NUMBER,CODE,SERIAL,NAME,FORM,TYPE1,TYPE2,CATEGORY,COLOR,ABILITY1,ABILITY2,ABILITY HIDDEN,GENERATION,LEGENDARY,MEGA,HEIGHT,WEIGHT,HP,ATK,DEF,SP ATK,SP DEF,SPD,TOTAL
26,2,2602,Raichu,Alolan,Electric,Psychic,,Brown,Surge Surfer,,,7,0,0,0.7,21,60,85,50,95,85,110,485
27,1,2701,Sandshrew,Kantonian,Ground,,Mouse,Yellow,Sand Veil,,Sand Rush,1,0,0,0.6,12,50,75,85,20,30,40,300
27,2,2702,Sandshrew,Alolan,Ice,Steel,,White,Snow Cloak,,Slush Rush,7,0,0,0.7,40,50,75,90,10,35,40,300
28,1,2801,Sandslash,Kantonian,Ground,,Mouse,Yellow,Sand Veil,,Sand Rush,1,0,0,1,29.5,75,100,110,45,55,65,450
28,2,2802,Sandslash,Alolan,Ice,Steel,,Blue,Snow Cloak,,Slush Rush,7,0,0,1.2,55,75,100,120,25,65,65,450
29,1,2901,Nidoran F,,Poison,,Poison Pin,Blue,Poison Point,Rivalry,Hustle,1,0,0,0.4,7,55,47,52,40,40,41,275
30,1,3001,Nidorina,,Poison,,Poison Pin,Blue,Poison Point,Rivalry,Hustle,1,0,0,0.8,20,70,62,67,55,55,56,365
31,1,3101,Nidoqueen,,Poison,Ground,Drill,Blue,Poison Point,Rivalry,Sheer Force,1,0,0,1.3,60,90,92,87,75,85,76,505
32,1,3201,Nidoran M,,Poison,,Poison Pin,Purple,Poison Point,Rivalry,Hustle,1,0,0,0.5,9,46,57,40,40,40,50,273
33,1,3301,Nidorino,,Poison,,Poison Pin,Purple,Poison Point,Rivalry,Hustle,1,0,0,0.9,19.5,61,72,57,55,55,65,365
34,1,3401,Nidoking,,Poison,Ground,Drill,Purple,Poison Point,Rivalry,Sheer Force,1,0,0,1.4,62,81,102,77,85,75,85,505
35,1,3501,Clefairy,,Fairy,,Fairy,Pink,Cute Charm,Magic Guard,Friend Guard,1,0,0,0.6,7.5,70,45,48,60,65,35,323
36,1,3601,Clefable,,Fairy,,Fairy,Pink,Cute Charm,Magic Guard,Friend Guard,1,0,0,1.3,40,95,70,73,95,90,60,483
37,1,3701,Vulpix,Kantonian,Fire,,Fox,Brown,Flash Fire,,Drought,1,0,0,0.6,9.9,38,41,40,50,65,65,299
37,2,3702,Vulpix,Alolan,Ice,,,White,Snow Cloak,,Snow Warning,7,0,0,0.6,9.9,38,41,40,50,65,65,299
38,1,3801,Ninetales,Kantonian,Fire,,Fox,Yellow,Flash Fire,,Drought,1,0,0,1.1,19.9,73,76,75,81,100,100,505
38,2,3802,Ninetales,Alolan,Ice,Fairy,,Blue,Snow Cloak,,Snow Warning,7,0,0,1.1,19.9,73,67,75,81,100,109,505
39,1,3901,Jigglypuff,,Normal,Fairy,Balloon,Pink,Cute Charm,Competitive,Friend Guard,1,0,0,0.5,5.5,115,45,20,45,25,20,270
40,1,4001,Wigglytuff,,Normal,Fairy,Balloon,Pink,Cute Charm,Competitive,Friend Guard,1,0,0,1,12,140,70,45,85,50,45,435
41,1,4101,Zubat,,Poison,Flying,Bat,Purple,Inner Focus,,Infiltrator,1,0,0,0.8,7.5,40,45,35,30,40,55,245
42,1,4201,Golbat,,Poison,Flying,Bat,Purple,Inner Focus,,Infiltrator,1,0,0,1.6,55,75,80,70,65,75,90,455
43,1,4301,Oddish,,Grass,Poison,Weed,Blue,Chlorophyll,,Run Away,1,0,0,0.5,5.4,45,50,55,75,65,30,320
44,1,4401,Gloom,,Grass,Poison,Weed,Blue,Chlorophyll,,Stench,1,0,0,0.8,8.6,60,65,70,85,75,40,395
45,1,4501,Vileplume,,Grass,Poison,Flower,Red,Chlorophyll,,Effect Spore,1,0,0,1.2,18.6,75,80,85,110,90,50,490
46,1,4601,Paras,,Bug,Grass,Mushroom,Red,Effect Spore,Dry Skin,Damp,1,0,0,0.3,5.4,35,70,55,45,55,25,285
47,1,4701,Parasect,,Bug,Grass,Mushroom,Red,Effect Spore,Dry Skin,Damp,1,0,0,1,29.5,60,95,80,60,80,30,405
48,1,4801,Venonat,,Bug,Poison,Insect,Purple,Compound Eyes,Tinted Lens,Run Away,1,0,0,1,30,60,55,50,40,55,45,305
49,1,4901,Venomoth,,Bug,Poison,Poison Moth,Purple,Shield Dust,Tinted Lens,Wonder Skin,1,0,0,1.5,12.5,70,65,60,90,75,90,450
50,1,5001,Diglett,Kantonian,Ground,,Mole,Brown,Sand Veil,Arena Trap,Sand Force,1,0,0,0.2,0.8,10,55,25,35,45,95,265
50,2,5002,Diglett,Alolan,Ground,Steel,,Brown,Sand Veil,Tangling Hair,Sand Force,7,0,0,0.2,1,10,55,30,35,45,90,265
51,1,5101,Dugtrio,Kantonian,Ground,,Mole,Brown,Sand Veil,Arena Trap,Sand Force,1,0,0,0.7,33.3,35,100,50,50,70,120,425
51,2,5102,Dugtrio,Alolan,Ground,Steel,,Brown,Sand Veil,Tangling Hair,Sand Force,7,0,0,0.7,66.6,35,100,60,50,70,110,425
52,1,5201,Meowth,Kantonian,Normal,,Scratch Cat,Yellow,Pickup,Technician,Unnerve,1,0,0,0.4,4.2,40,45,35,40,40,90,290
52,2,5202,Meowth,Alolan,Dark,,,Blue,Pickup,Technician,Rattled,7,0,0,0.4,4.2,40,35,35,50,40,90,290
52,3,5203,Meowth,Galarian,Steel,,,Brown,Pickup,Tough Claws,Unnerve,8,0,0,0.4,7.5,50,65,55,40,40,40,290
52,4,5204,Meowth,Gigantamax,Normal,,,Yellow,Pickup,Technician,Unnerve,1,0,0,0.4,4.2,40,45,35,40,40,90,290
53,1,5301,Persian,Kantonian,Normal,,Classy Cat,Yellow,Limber,Technician,Unnerve,1,0,0,1,32,65,70,60,65,65,115,440
53,2,5302,Persian,Alolan,Dark,,,Blue,Fur Coat,Technician,Rattled,7,0,0,1.1,33,65,60,60,75,65,115,440
54,1,5401,Psyduck,,Water,,Duck,Yellow,Damp,Cloud Nine,Swift Swim,1,0,0,0.8,19.6,50,52,48,65,50,55,320
55,1,5501,Golduck,,Water,,Duck,Blue,Damp,Cloud Nine,Swift Swim,1,0,0,1.7,76.6,80,82,78,95,80,85,500
56,1,5601,Mankey,,Fighting,,Pig Monkey,Brown,Vital Spirit,Anger Point,Defiant,1,0,0,0.5,28,40,80,35,35,45,70,305
57,1,5701,Primeape,,Fighting,,Pig Monkey,Brown,Vital Spirit,Anger Point,Defiant,1,0,0,1,32,65,105,60,60,70,95,455
58,1,5801,Growlithe,Kantonian,Fire,,Puppy,Brown,Intimidate,Flash Fire,Justified,1,0,0,0.7,19,55,70,45,70,50,60,350
58,2,5802,Growlithe,Hisuian,Fire,Rock,,Orange,Intimidate,Flash Fire,Rock Head,8,0,0,0.8,22.7,60,75,45,65,50,55,350
59,1,5901,Arcanine,Kantonian,Fire,,Legendary,Brown,Intimidate,Flash Fire,Justified,1,0,0,1.9,155,90,110,80,100,80,95,555
59,2,5902,Arcanine,Hisuian,Fire,Rock,,Orange,Intimidate,Flash Fire,Rock Head,8,0,0,2,168,95,115,80,95,80,90,555
60,1,6001,Poliwag,,Water,,Tadpole,Blue,Water Absorb,Damp,Swift Swim,1,0,0,0.6,12.4,40,50,40,40,40,90,300
61,1,6101,Poliwhirl,,Water,,Tadpole,Blue,Water Absorb,Damp,Swift Swim,1,0,0,1,20,65,65,65,50,50,90,385
62,1,6201,Poliwrath,,Water,Fighting,Tadpole,Blue,Water Absorb,Damp,Swift Swim,1,0,0,1.3,54,90,95,95,70,90,70,510
63,1,6301,Abra,,Psychic,,Psi,Brown,Synchronize,Inner Focus,Magic guard,1,0,0,0.9,19.5,25,20,15,105,55,90,310
64,1,6401,Kadabra,,Psychic,,Psi,Brown,Synchronize,Inner Focus,Magic guard,1,0,0,1.3,56.5,40,35,30,120,70,105,400
65,1,6501,Alakazam,,Psychic,,Psi,Brown,Synchronize,Inner Focus,Magic guard,1,0,0,1.5,48,55,50,45,135,95,120,500
65,2,6502,Alakazam,Mega Alakazam,Psychic,,,Brown,Trace,,,1,0,1,1.2,48,55,50,65,175,95,150,590
66,1,6601,Machop,,Fighting,,Superpower,Grey,Guts,No Guard,Steadfast,1,0,0,0.8,19.5,70,80,50,35,35,35,305
67,1,6701,Machoke,,Fighting,,Superpower,Grey,Guts,No Guard,Steadfast,1,0,0,1.5,70.5,80,100,70,50,60,45,405
68,1,6801,Machamp,,Fighting,,Superpower,Grey,Guts,No Guard,Steadfast,1,0,0,1.6,130,90,130,80,65,85,55,505
68,2,6802,Machamp,Gigantamax,Fighting,,,Grey,Guts,No Guard,Steadfast,1,0,0,1.6,130,90,130,80,65,85,55,505
69,1,6901,Bellsprout,,Grass,Poison,Flower,Green,Chlorophyll,,Gluttony,1,0,0,0.7,4,50,75,35,70,30,40,300
70,1,7001,Weepinbell,,Grass,Poison,Flycatcher,Green,Chlorophyll,,Gluttony,1,0,0,1,6.4,65,90,50,85,45,55,390
71,1,7101,Victreebel,,Grass,Poison,Flycatcher,Green,Chlorophyll,,Gluttony,1,0,0,1.7,15.5,80,105,65,100,70,70,490
72,1,7201,Tentacool,,Water,Poison,Jellyfish,Blue,Clear Body,Liquid Ooze,Rain dish,1,0,0,0.9,45.5,40,40,35,50,100,70,335
73,1,7301,Tentacruel,,Water,Poison,Jellyfish,Blue,Clear Body,Liquid Ooze,Rain dish,1,0,0,1.6,55,80,70,65,80,120,100,515
74,1,7401,Geodude,Kantonian,Rock,Ground,Rock,Brown,Rock Head,Sturdy,Sand Veil,1,0,0,0.4,20,40,80,100,30,30,20,300
74,2,7402,Geodude,Alolan,Rock,Electric,,Grey,Magnet Pull,Sturdy,Galvanize,7,0,0,0.4,20.3,40,80,100,30,30,20,300
75,1,7501,Graveler,Kantonian,Rock,Ground,Rock,Brown,Rock Head,Sturdy,Sand Veil,1,0,0,1,105,55,95,115,45,45,35,390
75,2,7502,Graveler,Alolan,Rock,Electric,,Grey,Magnet Pull,Sturdy,Galvanize,7,0,0,1,110,55,95,115,45,45,35,390
76,1,7601,Golem,Kantonian,Rock,Ground,Megaton,Brown,Rock Head,Sturdy,Sand Veil,1,0,0,1.4,300,80,120,130,55,65,45,495
76,2,7602,Golem,Alolan,Rock,Electric,,Grey,Magnet Pull,Sturdy,Galvanize,7,0,0,1.7,316,80,120,130,55,65,45,495
77,1,7701,Ponyta,Kantonian,Fire,,Fire Horse,Yellow,Run Away,Flash Fire,Flame Body,1,0,0,1,30,50,85,55,65,65,90,410
77,2,7702,Ponyta,Galarian,Psychic,,,White,Run Away,Pastel Veil,Anticipation,8,0,0,0.8,24,50,85,55,65,65,90,410
78,1,7801,Rapidash,Kantonian,Fire,,Fire Horse,Yellow,Run Away,Flash Fire,Flame Body,1,0,0,1.7,95,65,100,70,80,80,105,500
78,2,7802,Rapidash,Galarian,Psychic,Fairy,,White,Run Away,Pastel Veil,Anticipation,8,0,0,1.7,80,65,100,70,80,80,105,500
79,1,7901,Slowpoke,Kantonian,Water,Psychic,Dopey,Pink,Oblivious,Own Tempo,Regenerator,1,0,0,1.2,36,90,65,65,40,40,15,315
79,2,7902,Slowpoke,Galarian,Psychic,,,Pink,Gluttony,Own Tempo,Regenerator,8,0,0,1.2,36,90,65,65,40,40,15,315
80,1,8001,Slowbro,Kantonian,Water,Psychic,Hermit Crab,Pink,Oblivious,Own Tempo,Regenerator,1,0,0,1.6,78.5,95,75,110,100,80,30,490
80,2,8002,Slowbro,Galarian,Poison,Psychic,,Pink,Quick Draw,Own Tempo,Regenerator,8,0,0,1.6,70.5,95,100,95,100,70,30,490
80,3,8003,Slowbro,Mega Slowbro,Water,Psychic,,Pink,Shell Armor,,,1,0,1,2,120,95,75,180,130,80,30,590
81,1,8101,Magnemite,,Electric,Steel,Magnet,Grey,Magnet Pull,Sturdy,Analytic,1,0,0,0.3,6,25,35,70,95,55,45,325
82,1,8201,Magneton,,Electric,Steel,Magnet,Grey,Magnet Pull,Sturdy,Analytic,1,0,0,1,60,50,60,95,120,70,70,465
83,1,8301,Farfetch'd,Kantonian,Normal,Flying,Wild Duck,Brown,Keen Eye,Inner Focus,Defiant,1,0,0,0.8,15,52,90,55,58,62,60,377
83,2,8302,Farfetch'd,Galarian,Fighting,,,Brown,Steadfast,,Scrappy,8,0,0,0.8,42,52,95,55,58,62,55,377
84,1,8401,Doduo,,Normal,Flying,Twin Bird,Brown,Run Away,Early Bird,Tangled Feet,1,0,0,1.4,39.2,35,85,45,35,35,75,310
85,1,8501,Dodrio,,Normal,Flying,Triple Bird,Brown,Run Away,Early Bird,Tangled Feet,1,0,0,1.8,85.2,60,110,70,60,60,110,470
86,1,8601,Seel,,Water,,Sea Lion,White,Thick Fat,Hydration,Ice Body,1,0,0,1.1,90,65,45,55,45,70,45,325
87,1,8701,Dewgong,,Water,Ice,Sea Lion,White,Thick Fat,Hydration,Ice Body,1,0,0,1.7,120,90,70,80,70,95,70,475
88,1,8801,Grimer,Kantonian,Poison,,Sludge,Purple,Stench,Sticky Hold,Poison Touch,1,0,0,0.9,30,80,80,50,40,50,25,325
88,2,8802,Grimer,Alolan,Poison,Dark,,Green,Poison Touch,Gluttony,Power of Alchemy,7,0,0,0.7,42,80,80,50,40,50,25,325
89,1,8901,Muk,Kantonian,Poison,,Sludge,Purple,Stench,Sticky Hold,Poison Touch,1,0,0,1.2,30,105,105,75,65,100,50,500
89,2,8902,Muk,Alolan,Poison,Dark,,Green,Poison Touch,Gluttony,Power of Alchemy,7,0,0,1,52,105,105,75,65,100,50,500
90,1,9001,Shellder,,Water,,Bivalve,Purple,Shell Armor,Skill Link,Overcoat,1,0,0,0.3,4,30,65,100,45,25,40,305
91,1,9101,Cloyster,,Water,Ice,Bivalve,Purple,Shell Armor,Skill Link,Overcoat,1,0,0,1.5,132.5,50,95,180,85,45,70,525
92,1,9201,Gastly,,Ghost,Poison,Gas,Purple,Levitate,,,1,0,0,1.3,0.1,30,35,30,100,35,80,310
93,1,9301,Haunter,,Ghost,Poison,Gas,Purple,Levitate,,,1,0,0,1.6,0.1,45,50,45,115,55,95,405
94,1,9401,Gengar,,Ghost,Poison,Shadow,Purple,Cursed Body,,,1,0,0,1.5,40.5,60,65,60,130,75,110,500
94,2,9402,Gengar,Mega Gengar,Ghost,Poison,,Purple,Shadow Tag,,,1,0,1,1.4,40.5,60,65,80,170,95,130,600
94,3,9403,Gengar,Gigantamax,Ghost,Poison,,Purple,Cursed Body,,,1,0,0,1.5,40.5,60,65,60,130,75,110,500
95,1,9501,Onix,,Rock,Ground,Rock Snake,Grey,Rock Head,Sturdy,Weak Armor,1,0,0,8.8,210,35,45,160,30,45,70,385
96,1,9601,Drowzee,,Psychic,,Hypnosis,Yellow,Insomnia,Forewarn,Inner Focus,1,0,0,1,32.4,60,48,45,43,90,42,328
97,1,9701,Hypno,,Psychic,,Hypnosis,Yellow,Insomnia,Forewarn,Inner Focus,1,0,0,1.6,75.6,85,73,70,73,115,67,483
98,1,9801,Krabby,,Water,,River Crab,Red,Hyper Cutter,Shell Armor,Sheer Force,1,0,0,0.4,6.5,30,105,90,25,25,50,325
99,1,9901,Kingler,,Water,,Pincer,Red,Hyper Cutter,Shell Armor,Sheer Force,1,0,0,1.3,60,55,130,115,50,50,75,475
99,2,9902,Kingler,Gigantamax,Water,,,Red,Hyper Cutter,Shell Armor,Sheer Force,1,0,0,1.3,60,55,130,115,50,50,75,475
100,1,10001,Voltorb,Kantonian,Electric,,,Red,Soundproof,Static,Aftermath,1,0,0,0.5,10.4,40,30,50,55,55,100,330
100,2,10002,Voltorb,Hisuian,Electric,Grass,,Red,Soundproof,Static,Aftermath,8,0,0,0.5,13,40,30,50,55,55,100,330
101,1,10101,Electrode,Kantonian,Electric,,,Red,Soundproof,Static,Aftermath,1,0,0,1.2,66.6,60,50,70,80,80,150,490
101,2,10102,Electrode,Hisuian,Electric,Grass,,Red,Soundproof,Static,Aftermath,8,0,0,1.2,71,60,50,70,80,80,150,490
102,1,10201,Exeggcute,,Grass,Psychic,,Pink,Chlorophyll,,Harvest,1,0,0,0.4,2.5,60,40,80,60,45,40,325
103,1,10301,Exeggutor,Kantonian,Grass,Psychic,,Yellow,Chlorophyll,,Harvest,1,0,0,2,120,95,95,85,125,75,55,530
103,2,10302,Exeggutor,Alolan,Grass,Dragon,,Yellow,Frisk,,Harvest,7,0,0,10.9,415.6,95,105,85,125,75,45,530
104,1,10401,Cubone,,Ground,,,Brown,Rock Head,Lightning Rod,Battle Armor,1,0,0,0.4,6.5,50,50,95,40,50,35,320
105,1,10501,Marowak,Kantonian,Ground,,,Brown,Rock Head,Lightning Rod,Battle Armor,1,0,0,1,45,60,80,110,50,80,45,425
105,2,10502,Marowak,Alolan,Fire,Ghost,,Purple,Cursed Body,Lightning Rod,Rock Head,7,0,0,1,34,60,80,110,50,80,45,425
106,1,10601,Hitmonlee,,Fighting,,,Brown,Limber,Reckless,Unburden,1,0,0,1.5,49.8,50,120,53,35,110,87,455
107,1,10701,Hitmonchan,,Fighting,,,Brown,Keen Eye,Iron Fist,Inner Focus,1,0,0,1.4,50.2,50,105,79,35,110,76,455
108,1,10801,Lickitung,,Normal,,,Pink,Own Tempo,Oblivious,Cloud Nine,1,0,0,1.2,65.5,90,55,75,60,75,30,385
109,1,10901,Koffing,,Poison,,,Purple,Levitate,Neutralizing Gas,Stench,1,0,0,0.6,1,40,65,95,60,45,35,340
110,1,11001,Weezing,Kantonian,Poison,,,Purple,Levitate,Neutralizing Gas,Stench,1,0,0,1.2,9.5,65,90,120,85,70,60,490
110,2,11002,Weezing,Galarian,Poison,Fairy,,Grey,Levitate,Neutralizing Gas,Misty Surge,8,0,0,3,16,65,90,120,85,70,60,490
111,1,11101,Rhyhorn,,Ground,Rock,,Grey,Lightning Rod,Rock Head,Reckless,1,0,0,1,115,80,85,95,30,30,25,345
112,1,11201,Rhydon,,Ground,Rock,,Grey,Lightning Rod,Rock Head,Reckless,1,0,0,1.9,120,105,130,120,45,45,40,485
113,1,11301,Chansey,,Normal,,,Pink,Natural Cure,Serene Grace,Healer,1,0,0,1.1,34.6,250,5,5,35,105,50,450
114,1,11401,Tangela,,Grass,,,Blue,Chlorophyll,Leaf Guard,Regenerator,1,0,0,1,35,65,55,115,100,40,60,435
115,1,11501,Kangaskhan,,Normal,,,Brown,Early Bird,Scrappy,Inner Focus,1,0,0,2.2,80,105,95,80,40,80,90,490
115,2,11502,Kangaskhan,Mega Kangaskhan,Normal,,,Brown,Parental Bond,,,1,0,1,2.2,100,105,125,100,60,100,100,590
116,1,11601,Horsea,,Water,,,Blue,Swift Swim,Sniper,Damp,1,0,0,0.4,8,30,40,70,70,25,60,295
117,1,11701,Seadra,,Water,,,Blue,Poison Point,Sniper,Damp,1,0,0,1.2,25,55,65,95,95,45,85,440
118,1,11801,Goldeen,,Water,,,Red,Swift Swim,Water Veil,Lightning Rod,1,0,0,0.6,15,45,67,60,35,50,63,320
119,1,11901,Seaking,,Water,,,Red,Swift Swim,Water Veil,Lightning Rod,1,0,0,1.3,39,80,92,65,65,80,68,450
120,1,12001,Staryu,,Water,,,Brown,Illuminate,Natural Cure,Analytic,1,0,0,0.8,34.5,30,45,55,70,55,85,340
121,1,12101,Starmie,,Water,Psychic,,Purple,Illuminate,Natural Cure,Analytic,1,0,0,1.1,80,60,75,85,100,85,115,520
122,1,12201,Mr. Mime,Kantonian,Psychic,Fairy,,Pink,Soundproof,Filter,Technician,1,0,0,1.3,54.5,40,45,65,100,120,90,460
122,2,12202,Mr. Mime,Galarian,Psychic,Ice,,White,Vital Spirit,Screen Cleaner,Ice Body,8,0,0,1.4,56.8,50,65,65,90,90,100,460
123,1,12301,Scyther,,Bug,Flying,,Green,Swarm,Technician,Steadfast,1,0,0,1.5,56,70,110,80,55,80,105,500
124,1,12401,Jynx,,Ice,Psychic,,Red,Oblivious,Forewarn,Dry Skin,1,0,0,1.4,40.6,65,50,35,115,95,95,455
125,1,12501,Electabuzz,,Electric,,,Yellow,Static,,Vital Spirit,1,0,0,1.1,30,65,83,57,95,85,105,490
126,1,12601,Magmar,,Fire,,,Red,Flame Body,,Vital Spirit,1,0,0,1.3,44.5,65,95,57,100,85,93,495
127,1,12701,Pinsir,,Bug,,,Brown,Hyper Cutter,Mold Breaker,Moxie,1,0,0,1.5,55,65,125,100,55,70,85,500
127,2,12702,Pinsir,Mega Pinsir,Bug,Flying,,Brown,Aerilate,,,1,0,1,1.7,59,65,155,120,65,90,105,600
128,1,12801,Tauros,Kantonian,Normal,,,Brown,Intimidate,Anger Point,Sheer Force,1,0,0,1.4,88.4,75,100,95,40,70,110,490
128,2,12802,Tauros,Paldean Combat Breed,Fighting,,,Black,Intimidate,Anger Point,Sheer Force,9,0,0,1.4,115,75,110,105,30,70,100,490
128,3,12803,Tauros,Paldean Blaze Breed,Fighting,Fire,,Black,Intimidate,Anger Point,Sheer Force,9,0,0,1.4,85,75,110,105,30,70,100,490
128,4,12804,Tauros,Paldean Aqua Breed,Fighting,Water,,Black,Intimidate,Anger Point,Sheer Force,9,0,0,1.4,110,75,110,105,30,70,100,490
129,1,12901,Magikarp,,Water,,,Red,Swift Swim,,Rattled,1,0,0,0.9,10,20,10,55,15,20,80,200
130,1,13001,Gyarados,,Water,Flying,,Blue,Intimidate,,Moxie,1,0,0,6.5,235,95,125,79,60,100,81,540
130,2,13002,Gyarados,Mega Gyarados,Water,Dark,,Blue,Mold Breaker,,,1,0,1,6.5,305,95,155,109,70,130,81,640
131,1,13101,Lapras,,Water,Ice,,Blue,Water Absorb,Shell Armor,Hydration,1,0,0,2.5,220,130,85,80,85,95,60,535
131,2,13102,Lapras,Gigantamax,Water,Ice,,Blue,Water Absorb,Shell Armor,Hydration,1,0,0,2.5,220,130,85,80,85,95,60,535
132,1,13201,Ditto,,Normal,,,Purple,Limber,,Imposter,1,0,0,0.3,4,48,48,48,48,48,48,288
133,1,13301,Eevee,,Normal,,,Brown,Run Away,Adaptability,Anticipation,1,0,0,0.3,6.5,55,55,50,45,65,55,325
134,1,13401,Vaporeon,,Water,,,Blue,Water Absorb,,Hydration,1,0,0,1,29,130,65,60,110,95,65,525
135,1,13501,Jolteon,,Electric,,,Yellow,Volt Absorb,,Quick Feet,1,0,0,0.8,24.5,65,65,60,110,95,130,525
136,1,13601,Flareon,,Fire,,,Red,Flash Fire,,Guts,1,0,0,0.9,25,65,130,60,95,110,65,525
